stress,strain
601570279.2949201,0.23523248670000002
598235209.8211986,0.23640522
594687655.24554,0.2387126541
590992640.3080273,0.24110115050000003
587041612.3786178,0.2434379959
583706408.8431644,0.24466569900000001
580206333.7212989,0.2457802963
576415556.5344157,0.2481860542
572520713.4996439,0.2493800735
569094167.6375424,0.25048919680000004
567910064.477117,0.2517028427
